time,open,high,low,close,tick_volume,low_time,high_time
2018-01-01 08:00:00,24694.0,24694.0,24694.0,24694.0,2,2018-01-01 10:00:00,2018-01-01 10:00:00
2018-01-01 16:00:00,24694.0,24694.0,24694.0,24694.0,1,,
2018-01-02 00:00:00,24694.0,24800.5,24694.0,24785.7,887,2018-01-02 00:48:00,2018-01-02 02:24:00
2018-01-02 04:00:00,24786.7,24790.9,24763.9,24790.9,1777,2018-01-02 05:36:00,2018-01-02 07:36:00
2018-01-02 08:00:00,24791.9,24809.5,24779.7,24797.2,2598,2018-01-02 11:12:00,2018-01-02 10:00:00
2018-01-02 12:00:00,24796.7,24834.7,24758.9,24834.7,3947,2018-01-02 12:48:00,2018-01-02 15:36:00
2018-01-02 16:00:00,24833.7,24880.6,24741.5,24764.1,12052,2018-01-02 19:36:00,2018-01-02 17:12:00
2018-01-02 20:00:00,24765.1,24816.4,24753.3,24814.7,5773,2018-01-02 20:24:00,2018-01-02 23:12:00
2018-01-03 00:00:00,24808.6,24830.1,24792.7,24819.7,938,2018-01-03 02:00:00,2018-01-03 03:36:00
2018-01-03 04:00:00,24820.2,24836.4,24814.8,24831.4,1288,2018-01-03 04:48:00,2018-01-03 07:36:00
2018-01-03 08:00:00,24830.4,24850.5,24825.5,24841.1,1449,2018-01-03 09:36:00,2018-01-03 11:36:00
2018-01-03 12:00:00,24842.1,24850.1,24827.4,24840.4,2219,2018-01-03 14:48:00,2018-01-03 12:00:00
2018-01-03 16:00:00,24840.9,24908.5,24826.8,24860.0,9000,2018-01-03 17:12:00,2018-01-03 18:24:00
2018-01-03 20:00:00,24860.5,24940.6,24859.8,24925.8,6549,2018-01-03 21:36:00,2018-01-03 23:12:00
2018-01-04 00:00:00,24908.7,24929.7,24906.3,24915.4,1037,2018-01-04 02:00:00,2018-01-04 02:48:00
2018-01-04 04:00:00,24914.4,24958.4,24905.4,24954.4,1963,2018-01-04 04:00:00,2018-01-04 07:12:00
2018-01-04 08:00:00,24955.4,24975.4,24952.1,24968.1,1983,2018-01-04 10:24:00,2018-01-04 08:24:00
2018-01-04 12:00:00,24967.6,25001.2,24967.1,24988.3,1823,2018-01-04 12:00:00,2018-01-04 15:12:00
2018-01-04 16:00:00,24988.8,25106.0,24979.7,25052.5,11959,2018-01-04 17:12:00,2018-01-04 18:24:00
2018-01-04 20:00:00,25051.5,25092.5,25048.6,25074.7,7141,2018-01-04 20:00:00,2018-01-04 23:12:00
2018-01-05 00:00:00,25086.9,25105.6,25083.1,25099.1,745,2018-01-05 02:00:00,2018-01-05 03:12:00
2018-01-05 04:00:00,25098.1,25116.0,25088.2,25114.5,1575,2018-01-05 05:12:00,2018-01-05 07:36:00
2018-01-05 08:00:00,25115.0,25127.6,25101.1,25117.7,1674,2018-01-05 09:12:00,2018-01-05 10:48:00
2018-01-05 12:00:00,25118.2,25164.8,25114.2,25163.3,2181,2018-01-05 12:00:00,2018-01-05 15:36:00
2018-01-05 16:00:00,25162.8,25181.8,25106.2,25161.5,11672,2018-01-05 17:36:00,2018-01-05 16:24:00
2018-01-05 20:00:00,25161.6,25296.2,25151.5,25292.3,7582,2018-01-05 20:48:00,2018-01-05 23:12:00
2018-01-08 00:00:00,25304.6,25387.1,25301.5,25377.3,1469,2018-01-08 02:00:00,2018-01-08 02:00:00
2018-01-08 04:00:00,25376.3,25382.8,25356.6,25360.6,1453,2018-01-08 07:36:00,2018-01-08 04:00:00
2018-01-08 08:00:00,25360.6,25377.2,25333.4,25335.4,2009,2018-01-08 11:12:00,2018-01-08 10:48:00
2018-01-08 12:00:00,25335.9,25353.4,25273.9,25289.8,2642,2018-01-08 15:36:00,2018-01-08 13:36:00
2018-01-08 16:00:00,25288.8,25308.8,25235.1,25257.5,11211,2018-01-08 18:24:00,2018-01-08 17:12:00
2018-01-08 20:00:00,25259.0,25312.2,25253.1,25281.5,6599,2018-01-08 20:00:00,2018-01-08 21:12:00
2018-01-09 00:00:00,25283.5,25298.7,25273.3,25293.8,924,2018-01-09 02:00:00,2018-01-09 02:48:00
2018-01-09 04:00:00,25294.8,25296.8,25259.0,25270.1,2416,2018-01-09 05:12:00,2018-01-09 04:00:00
2018-01-09 08:00:00,25270.3,25311.6,25270.3,25307.6,1342,2018-01-09 08:00:00,2018-01-09 11:12:00
2018-01-09 12:00:00,25308.1,25323.8,25301.3,25322.8,1636,2018-01-09 14:24:00,2018-01-09 15:36:00
2018-01-09 16:00:00,25322.8,25404.6,25311.8,25397.7,11093,2018-01-09 16:00:00,2018-01-09 19:36:00
2018-01-09 20:00:00,25398.2,25439.5,25384.5,25391.4,8274,2018-01-09 20:00:00,2018-01-09 22:00:00
2018-01-10 00:00:00,25378.8,25399.7,25373.7,25381.3,968,2018-01-10 02:00:00,2018-01-10 02:48:00
2018-01-10 04:00:00,25381.8,25404.9,25373.9,25397.0,2075,2018-01-10 04:24:00,2018-01-10 07:12:00
2018-01-10 08:00:00,25397.5,25401.5,25337.1,25342.6,2621,2018-01-10 10:48:00,2018-01-10 09:12:00
2018-01-10 12:00:00,25342.1,25366.8,25245.5,25281.4,5580,2018-01-10 13:36:00,2018-01-10 12:24:00
2018-01-10 16:00:00,25280.9,25386.1,25255.6,25365.3,15343,2018-01-10 17:36:00,2018-01-10 19:36:00
2018-01-10 20:00:00,25365.8,25405.6,25331.9,25368.7,9867,2018-01-10 22:24:00,2018-01-10 21:36:00
2018-01-11 00:00:00,25376.1,25410.9,25356.0,25397.9,1021,2018-01-11 02:24:00,2018-01-11 03:36:00
2018-01-11 04:00:00,25397.4,25419.1,25353.7,25401.7,2888,2018-01-11 05:36:00,2018-01-11 07:12:00
2018-01-11 08:00:00,25402.2,25414.3,25389.5,25405.6,2044,2018-01-11 09:36:00,2018-01-11 10:48:00
2018-01-11 12:00:00,25406.1,25421.4,25378.2,25411.0,2281,2018-01-11 13:12:00,2018-01-11 15:12:00
2018-01-11 16:00:00,25411.5,25497.1,25391.1,25481.6,10581,2018-01-11 16:48:00,2018-01-11 19:12:00
2018-01-11 20:00:00,25481.1,25563.4,25479.1,25563.4,7583,2018-01-11 20:00:00,2018-01-11 23:12:00
2018-01-12 00:00:00,25572.8,25577.7,25559.8,25575.8,896,2018-01-12 03:12:00,2018-01-12 02:00:00
2018-01-12 04:00:00,25575.8,25601.9,25567.8,25592.0,2058,2018-01-12 04:00:00,2018-01-12 07:36:00
