time,open,high,low,close,tick_volume,low_time,high_time,velocity,acceleration,candle_way,filling,spread,tick_volume,ret_log_1,ret_log_2,ret_log_5,ret_log_10,ret_log_20,ret_log_50,autocorr_1,autocorr_2,autocorr_5,autocorr_20,autocorr_10,kama_diff,amplitude,rolling_volatility_yang_zhang,rolling_volatility_parkinson,market_regime,kama_trend,labeling
2015-02-18 12:00:00,0.93752,0.94029,0.937,0.93977,12202,2015-02-18 12:24:00,2015-02-18 15:12:00,0.0022499999999999742,-0.000140000000000029,1,0.6838905775076108,0.003289999999999904,12202,-0.0371540297480798,-0.0737979415247274,-0.08416940217864688,-0.12297225343179197,-0.17224914336732433,-0.2690092565700781,0.9216658276339696,0.8928039698616008,0.8356900616515257,0.6851327955963946,0.7917432304232533,0.010704000757112198,0.23970723756052337,0.009707988812372849,0.002447322711155737,1.0,1,7.6
2015-02-18 16:00:00,0.93976,0.94459,0.93959,0.94438,14854,2015-02-18 16:00:00,2015-02-18 19:36:00,0.004610000000000003,0.0023600000000000287,1,0.9239999999999907,0.0050000000000000044,14854,-0.07877421162083387,-0.1130014619669717,-0.13448267069270814,-0.18972659222557775,-0.21399822250865097,-0.28953945255415514,0.932411028641057,0.8958614357088067,0.849253437532428,0.6745388503857218,0.7624922319046926,0.010078363813543878,0.4904094175592002,0.009708078444325242,0.0024618418915504474,1.0,1,23.6
2015-02-18 20:00:00,0.94436,0.94492,0.94105,0.94169,13231,2015-02-18 22:00:00,2015-02-18 21:36:00,-0.00268999999999997,-0.007299999999999973,-1,0.6899224806201548,0.003869999999999929,13231,0.0498455541351428,-0.0328552017154905,-0.09601543598783702,-0.14920878664088,-0.16295526476177757,-0.229908531913377,0.9356391977489504,0.9082993692739375,0.8625568760474596,0.7074805343635292,0.7682119008291795,0.00957337345149023,0.2831314122106996,0.009708011064962161,0.0024853439422654017,1.0,1,-9.2
2015-02-19 00:00:00,0.94171,0.9424,0.94082,0.9413,8035,2015-02-19 01:12:00,2015-02-19 00:00:00,-0.00039000000000000146,0.0022999999999999687,-1,0.25949367088608527,0.0015800000000000258,8035,0.006894818644405332,0.05708404883553975,-0.0980523149251219,-0.10787066895876551,-0.1392884501523063,-0.24091757311318496,0.9416637295143162,0.9068627431627966,0.872130495264943,0.7411523899066808,0.7876158237705629,0.00918161236070314,0.04354729927085055,0.009707711542848265,0.0024681954055318675,1.0,1,15.6
2015-02-19 04:00:00,0.9413,0.94152,0.94043,0.94117,8210,2015-02-19 05:12:00,2015-02-19 07:36:00,-0.0001300000000000745,0.00025999999999992696,-1,0.11926605504593604,0.0010900000000000354,8210,0.0022831656972372993,0.009193726355060106,-0.060227224872350216,-0.16091325049125205,-0.1527233783395645,-0.22401149271167653,0.9459521346920368,0.9132124672111074,0.8814099478297812,0.7565169881944948,0.7714562279202181,0.008889680223450713,0.013811641088577721,0.009707296868713418,0.002461996401704415,1.0,1,11.6
2015-02-19 08:00:00,0.94109,0.94343,0.93973,0.93976,9793,2015-02-19 11:36:00,2015-02-19 10:00:00,-0.0014099999999999113,-0.0012799999999998368,-1,0.3594594594594403,0.0037000000000000366,9793,0.024727389303836,0.02706701172811421,0.00017129649866443053,-0.08401252360387024,-0.1386272568884923,-0.21148180452759047,0.947107028235149,0.9154066974881809,0.8777150139246666,0.7714750347439205,0.7795131533497891,0.008569875909265279,0.14142541935826272,0.009709701169455198,0.0024268610130010783,1.0,1,7.6
2015-02-19 12:00:00,0.93978,0.94882,0.93829,0.94856,15911,2015-02-19 12:24:00,2015-02-19 15:36:00,0.008799999999999919,0.01020999999999983,1,0.8338081671414983,0.01053000000000004,15911,-0.15001461939745742,-0.1289966999887291,-0.077174140318083,-0.20127822651240157,-0.28260852569190276,-0.32884950611875163,0.9331057298114714,0.9154483551509087,0.9009799201704797,0.7061405533974564,0.8051048885083548,0.007472427532477677,0.9299172818454314,0.009714694321366464,0.0026837815704977516,1.0,1,3.6
2015-02-19 16:00:00,0.94851,0.94872,0.94518,0.94708,14114,2015-02-19 17:36:00,2015-02-19 16:00:00,-0.0014799999999999258,-0.010279999999999845,-1,0.403954802259869,0.0035399999999999876,14114,0.029567720528827834,-0.12488248921021206,-0.09499858045266063,-0.1818926863201098,-0.2448474292993883,-0.2991821969430414,0.9397609906927794,0.9148634801793026,0.914168099639618,0.7084858127282547,0.8226373905619244,0.006656299467024507,0.15087650810564854,0.009707128974631917,0.002569425328121393,1.0,1,-27.6
2015-02-19 20:00:00,0.94709,0.94974,0.94702,0.94961,7848,2015-02-19 20:00:00,2015-02-19 23:12:00,0.002529999999999921,0.004009999999999847,1,0.926470588235263,0.0027200000000000557,7848,-0.049066085535374504,-0.020949137311100152,-0.1452964832564877,-0.22910214164783183,-0.2749764952550138,-0.33105311905469437,0.9477178672549856,0.9275573869586959,0.9211200278823954,0.7155368290080503,0.830092581892955,0.005687459666720129,0.26572467970685576,0.0097064082739022,0.0025328114521132156,1.0,1,-23.6
2015-02-20 00:00:00,0.94957,0.94961,0.9482,0.94829,7083,2015-02-20 03:36:00,2015-02-20 00:00:00,-0.0013199999999999878,-0.003849999999999909,-1,0.9078014184398151,0.0014099999999999113,7083,0.02690340975304517,-0.023482720786465627,-0.12430140931154743,-0.17704230525334097,-0.25859752544423686,-0.3327575692938627,0.9511014789228899,0.9333337271286565,0.9272640210958193,0.7086125498167187,0.8434046607133904,0.004827551427930454,0.13488876945613046,0.009704321416960574,0.002527148930163624,1.0,1,-19.6
